Cu_wt_percent,Zn_wt_percent,Pb_wt_percent,Sn_wt_percent,Solutionizing_Temperature_C,Aging_Temperature_C,Aging_Time_hours,Mechanical_Test_Temperature_C,Grain_Size_micrometer,Phases_Present,Primary_Phase_Volume_Fraction_percent,Secondary_Phase_Volume_Fraction_percent,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Elastic_Modulus_GPa,Hardness_Value,Hardness_Scale,Elongation_percent,Strain_Rate_per_second
66.2,33.8,0.0,0.0,830,225.0,3,25,32.0,Alpha+Beta,92,8,155,370,109,88,HV,46,0.001
71.0,29.0,0.0,0.0,860,260.0,2,25,42.0,Alpha,100,0,100,310,111,70,HV,60,0.001
60.0,38.0,2.0,0.0,800,200.0,4,25,20.0,Alpha+Beta+Pb,64,36,215,445,104,118,HV,28,0.001
57.2,42.8,0.0,0.0,760,160.0,10,25,12.0,Beta+Gamma,10,90,310,550,98,185,HV,12,0.001
63.8,36.2,0.0,0.0,825,215.0,3,25,29.0,Alpha+Beta,84,16,180,400,108,102,HV,41,0.001
69.0,31.0,0.0,0.0,845,240.0,2,25,37.0,Alpha,100,0,118,335,110,82,HV,51,0.001
61.2,37.8,1.0,0.0,805,195.0,5,25,23.0,Alpha+Beta,70,30,220,460,106,125,HV,33,0.001
65.5,34.5,0.0,0.0,825,210.0,4,25,31.0,Alpha+Beta,90,10,165,385,109,92,HV,44,0.001
60.8,39.2,0.0,0.0,790,185.0,6,25,21.0,Alpha+Beta,60,40,235,475,103,138,HV,26,0.001
72.0,28.0,0.0,0.0,865,270.0,1,25,45.0,Alpha,100,0,95,300,112,65,HV,65,0.001
62.0,36.0,2.0,0.0,810,200.0,4,25,25.0,Alpha+Beta+Pb,75,25,190,420,105,110,HV,32,0.001
59.5,40.5,0.0,0.0,775,175.0,7,25,17.0,Alpha+Beta,50,50,255,495,101,152,HV,21,0.001
64.2,35.8,0.0,0.0,820,210.0,4,25,28.0,Alpha+Beta,86,14,175,395,108,98,HV,42,0.001
67.0,33.0,0.0,0.0,835,230.0,3,25,33.0,Alpha,95,5,145,360,109,85,HV,48,0.001
60.5,38.5,1.0,0.0,800,200.0,4,300,22.0,Alpha+Beta,65,35,95,180,85,60,HV,65,0.001
70.2,29.8,0.0,0.0,850,250.0,2,25,,Alpha,100,0,112,322,110,76,HV,56,0.001
58.8,40.2,1.0,0.0,780,180.0,6,25,19.0,Alpha+Beta,52,48,250,490,102,150,HV,22,0.001
61.5,37.5,1.0,0.0,805,190.0,5,25,24.0,Alpha+Beta,71,29,210,450,106,122,HV,34,0.001
63.5,36.5,0.0,0.0,820,215.0,3,25,27.0,Alpha+Beta,83,17,185,415,108,104,HV,40,0.001
65.8,34.2,0.0,0.0,830,220.0,4,25,31.0,Alpha+Beta,91,9,160,375,109,90,HV,45,0.001
69.8,30.2,0.0,0.0,845,245.0,2,25,39.0,Alpha,100,0,122,338,110,81,HV,52,0.001
60.1,39.9,0.0,0.0,790,185.0,6,25,22.0,Alpha+Beta,58,42,242,230,103,142,HV,24,0.001
62.2,37.8,0.0,0.0,810,200.0,4,25,25.0,Alpha+Beta,76,24,200,435,106,114,HV,37,0.001
64.0,36.0,0.0,0.0,825,215.0,3,25,28.0,Alpha+Beta,84,16,178,398,108,101,HV,41,0.001
70.8,29.2,0.0,0.0,855,255.0,2,25,41.0,Alpha,100,0,102,312,111,71,HV,59,0.001
59.7,40.3,0.0,0.0,785,180.0,7,25,18.0,Alpha+Beta,53,47,252,500,101,155,HV,20,0.001
61.0,38.0,1.0,0.0,800,,5,25,23.0,Alpha+Beta,68,32,225,465,105,128,HV,32,0.001
66.5,33.5,0.0,0.0,835,230.0,3,25,34.0,Alpha+Beta,93,7,148,365,109,86,HV,47,0.001
71.5,28.5,0.0,0.0,860,265.0,2,25,43.0,Alpha,100,0,98,305,112,68,HV,62,0.001
62.8,37.2,0.0,0.0,815,205.0,4,25,27.0,Alpha+Beta,80,20,190,425,107,108,HV,39,0.001
60.3,39.7,0.0,0.0,795,190.0,6,25,22.0,Alpha+Beta,62,38,230,470,104,135,HV,28,0.001
64.8,35.2,0.0,0.0,825,215.0,4,25,,Alpha+Beta,88,12,168,388,108,94,HV,43,0.001
68.5,31.5,0.0,0.0,840,240.0,2,25,36.0,Alpha,100,0,125,340,110,84,HV,50,0.001
59.0,41.0,0.0,0.0,775,175.0,8,25,16.0,Alpha+Beta,48,52,265,510,100,162,HV,19,0.001
61.4,37.6,1.0,0.0,805,195.0,5,25,24.0,Alpha+Beta,72,28,215,455,106,124,HV,34,0.001
63.2,36.8,0.0,0.0,820,210.0,3,400,28.0,Alpha+Beta,82,18,70,140,75,55,HV,80,0.001
65.2,34.8,0.0,0.0,830,225.0,4,25,32.0,Alpha+Beta,90,10,158,378,109,91,HV,45,0.001
70.1,29.9,0.0,0.0,850,250.0,2,25,38.0,Alpha,100,0,114,324,110,77,HV,55,0.001
61.2,38.8,0.0,0.0,805,195.0,5,25,24.0,Alpha+Beta,71,29,216,456,106,125,HV,34,0.001
63.4,36.6,0.0,0.0,820,210.0,3,500,28.0,Alpha+Beta,82,18,55,110,65,45,HV,90,0.001
65.4,34.6,0.0,0.0,830,225.0,4,25,32.0,Alpha+Beta,91,9,158,378,109,91,HV,46,0.001
70.4,29.6,0.0,0.0,855,255.0,2,25,40.0,Alpha,100,0,112,322,110,76,HV,56,0.001
60.9,39.1,0.0,0.0,800,200.0,6,25,21.0,Alpha+Beta,65,35,224,464,105,124,HV,31,0.001
62.6,37.4,0.0,0.0,815,205.0,4,25,26.0,Alpha+Beta,79,21,194,428,107,111,HV,39,0.001
64.8,35.2,0.0,0.0,825,215.0,3,25,29.0,Alpha+Beta,87,13,174,394,108,98,HV,42,0.001
68.0,32.0,0.0,0.0,840,235.0,2,25,,Alpha,100,0,130,350,110,86,HV,48,0.001
59.4,40.6,0.0,0.0,780,180.0,7,25,17.0,Alpha+Beta,50,50,260,508,101,160,HV,19,0.001
61.0,39.0,0.0,0.0,805,195.0,6,25,23.0,Alpha+Beta,67,33,230,470,105,131,HV,30,0.001
64.1,35.9,0.0,0.0,820,210.0,4,25,28.0,Alpha+Beta,85,15,180,400,108,101,HV,41,0.001
66.4,33.6,0.0,0.0,835,225.0,3,25,33.0,Alpha+Beta,94,6,146,362,109,85,HV,48,0.001
71.1,28.9,0.0,0.0,860,265.0,2,25,42.0,Alpha,100,0,103,313,111,71,HV,60,0.001
62.8,37.2,0.0,0.0,815,200.0,4,25,27.0,Alpha+Beta,81,19,191,426,107,109,HV,39,0.001
60.2,39.8,0.0,0.0,795,190.0,6,25,22.0,Alpha+Beta,61,39,234,474,104,137,HV,27,0.001
64.9,35.1,0.0,0.0,825,215.0,4,25,31.0,Alpha+Beta,88,12,169,389,108,94,HV,43,0.001
68.7,31.3,0.0,0.0,845,245.0,2,25,37.0,Alpha,100,0,124,339,110,82,HV,51,0.001
59.2,40.8,0.0,0.0,775,175.0,8,25,16.0,Alpha+Beta,49,51,263,509,101,161,HV,19,0.001
61.4,38.6,0.0,0.0,805,195.0,5,25,24.0,Alpha+Beta,72,28,219,459,106,127,HV,33,0.001
63.3,36.7,0.0,0.0,820,210.0,3,25,28.0,Alpha+Beta,82,18,189,419,108,105,HV,40,0.001
65.4,34.6,0.0,0.0,830,225.0,4,25,32.0,Alpha+Beta,91,9,161,381,109,92,HV,45,0.001
70.3,29.7,0.0,0.0,855,255.0,2,25,39.0,Alpha,100,0,117,327,110,78,HV,55,0.001
60.8,39.2,0.0,0.0,800,200.0,6,25,21.0,Alpha+Beta,66,34,223,463,105,124,HV,31,0.001
62.5,37.5,0.0,0.0,815,205.0,4,25,26.0,Alpha+Beta,78,22,197,431,107,112,HV,38,0.001
64.5,35.5,0.0,0.0,825,215.0,3,25,30.0,Alpha+Beta,85,15,173,393,108,98,HV,42,0.001
68.3,31.7,0.0,0.0,840,240.0,2,25,36.0,Alpha,100,0,127,344,110,85,HV,49,0.001
