Cu_wt_percent,Zn_wt_percent,Pb_wt_percent,Sn_wt_percent,Solutionizing_Temperature_C,Aging_Temperature_C,Aging_Time_hours,Mechanical_Test_Temperature_C,Grain_Size_micrometer,Phases_Present,Primary_Phase_Volume_Fraction_percent,Secondary_Phase_Volume_Fraction_percent,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Elastic_Modulus_GPa,Hardness_Value,Hardness_Scale,Elongation_percent,Strain_Rate_per_second
58.9,38.1,0.9,0.7,650,246.0,6.5,200,48.9,Alpha,57,43,169,274,101,,HB,9.5,0.004851
71.3,29.7,0.9,0.6,683,244.0,1.8,25,63.8,Alpha,95,5,221,172,113,22.0,HV,48.7,0.006312
71.5,27.2,0.3,0.1,745,212.0,7.5,25,76.1,Alpha+Beta,99,1,143,212,101,69.0,HB,34.7,0.008749
69.3,30.6,0.7,0.6,775,219.0,7.8,100,69.5,Alpha+Beta,72,28,117,292,102,117.0,HV,46.3,0.009842
62.3,28.6,0.8,1.0,767,253.0,8.0,200,27.3,Alpha,90,10,116,302,102,145.0,HV,31.1,0.007706
59.4,40.9,0.6,0.1,697,222.0,1.4,200,41.5,Alpha+Beta,76,24,205,294,105,46.0,HRB,19.8,0.004236
67.6,38.9,0.5,0.5,738,223.0,6.2,25,19.0,Alpha,88,12,218,374,107,24.0,HV,54.1,0.004271
64.2,36.1,0.2,0.9,766,208.0,4.8,25,76.8,Alpha+Beta,62,38,179,458,114,124.0,HB,53.0,0.007402
59.7,39.9,0.1,0.7,778,192.0,5.9,100,52.4,Alpha,94,6,156,253,106,138.0,HB,46.7,0.002464
64.9,38.9,0.9,0.7,665,191.0,7.8,100,26.0,Alpha,98,2,314,253,116,101.0,HRB,21.3,0.001194
58.5,29.0,0.9,0.7,838,274.0,5.8,200,57.0,Alpha,73,27,82,188,111,69.0,HB,40.4,0.003611
70.7,40.3,0.6,0.4,841,225.0,6.9,300,53.3,Alpha+Beta,96,4,240,347,105,46.0,HB,26.7,0.002944
61.6,34.6,0.3,0.3,840,181.0,7.1,200,35.1,Alpha+Beta,95,5,213,283,106,149.0,HB,,0.003033
67.3,38.9,0.3,0.8,718,294.0,6.9,25,17.9,Alpha+Beta,91,9,257,216,108,107.0,HV,60.0,0.002413
62.4,40.3,0.7,0.8,671,293.0,4.0,200,57.0,Alpha,60,40,89,328,98,22.0,HV,13.2,0.000517
65.3,31.1,0.9,0.9,742,214.0,2.6,300,46.4,Alpha+Beta,80,20,84,191,111,79.0,HB,62.0,0.000277
65.7,27.8,0.9,0.9,844,266.0,3.8,100,64.1,Alpha+Beta,88,12,230,164,102,,HRB,31.8,0.009878
60.6,29.6,0.8,0.5,725,260.0,7.2,300,46.4,Alpha,99,1,217,260,111,81.0,HV,16.1,0.004335
71.6,32.8,0.6,0.5,803,269.0,2.0,300,69.7,Beta,60,40,251,306,101,86.0,HRB,37.5,0.003905
68.9,39.1,0.1,0.8,793,187.0,4.6,300,48.6,Alpha,91,9,209,438,98,68.0,HB,57.4,0.006829
71.2,39.8,0.2,0.6,828,272.0,2.6,100,49.3,Alpha+Beta,87,13,92,380,116,81.0,HB,48.9,0.002261
70.5,26.1,0.9,0.7,735,205.0,5.1,300,71.4,Alpha,76,24,247,306,105,65.0,HV,53.4,0.009505
66.4,34.2,0.6,0.8,834,253.0,7.0,300,38.2,Beta,75,25,209,187,112,111.0,HB,44.5,0.007885
70.9,32.7,0.0,0.9,678,269.0,7.2,300,19.4,Alpha,60,40,163,246,112,106.0,HV,46.5,0.000985
59.2,29.6,0.1,0.3,855,213.0,2.7,25,12.0,Alpha+Beta,60,40,144,438,106,22.0,HB,56.0,0.004234
60.7,27.9,0.7,0.4,718,294.0,7.4,300,62.9,Beta,58,42,142,403,106,49.0,HB,20.0,0.008803
58.6,31.4,0.0,0.1,696,284.0,5.1,100,53.4,Alpha+Beta,84,16,180,345,107,110.0,HV,,0.009453
62.6,41.1,0.2,0.6,743,186.0,3.5,300,59.3,Beta,65,35,152,235,117,102.0,HV,18.3,0.004727
63.4,31.2,0.5,0.0,839,247.0,6.0,300,24.9,Beta,84,16,96,471,106,92.0,HV,64.3,0.006173
61.8,34.3,0.7,0.5,846,237.0,4.4,100,19.5,Alpha,85,15,88,159,100,46.0,HB,61.6,0.001754
69.6,37.2,0.7,0.5,853,296.0,3.6,300,11.0,Alpha,78,22,282,154,117,134.0,HB,7.4,0.009913
63.0,31.8,0.2,0.3,793,293.0,5.9,100,34.5,Alpha+Beta,63,37,222,272,108,60.0,HRB,47.3,0.002394
61.9,41.5,0.7,0.6,825,288.0,2.7,300,51.3,Alpha,57,43,231,479,103,158.0,HV,60.5,0.009433
65.6,41.4,0.2,0.0,734,254.0,3.3,100,37.5,Alpha,85,15,117,267,99,156.0,HB,15.8,0.006532
60.0,30.0,0.3,0.0,688,208.0,4.0,300,40.6,Beta,94,6,242,443,104,69.0,HB,39.1,0.006117
69.2,34.0,0.7,0.8,749,299.0,2.8,300,73.3,Alpha,91,9,173,308,115,21.0,HV,59.9,0.005176
59.0,30.8,0.6,0.4,682,215.0,3.8,25,34.4,Beta,90,10,174,452,99,88.0,HRB,7.0,0.002384
71.8,30.6,0.8,0.1,750,268.0,5.0,25,46.0,Beta,78,22,128,377,114,21.0,HV,46.8,0.001848
68.8,26.6,0.7,0.5,672,,6.2,300,64.9,Beta,85,15,148,365,108,99.0,HRB,22.8,0.002283
60.8,35.8,0.6,0.8,659,215.0,6.4,300,37.8,Alpha+Beta,60,40,141,333,109,126.0,HB,60.5,0.001946
58.1,34.0,0.1,0.2,718,189.0,6.8,200,53.5,Alpha+Beta,56,44,267,164,116,139.0,HRB,63.3,0.007818
69.4,26.8,0.4,0.6,749,280.0,6.2,100,70.4,Alpha+Beta,74,26,315,306,104,50.0,HB,61.7,0.003566
67.9,30.5,0.3,0.1,683,252.0,5.8,200,76.5,Beta,82,18,257,285,117,43.0,HV,33.5,0.000673
